Full Text Tweet;Datum und Uhrzeit
It is hard to find the words to express my debt to the NHS for saving my life.////The efforts of millions of people across this country to stay home are worth it. Together we will overcome this challenge, as we have overcome so many challenges in the past. #StayHomeSaveLives https://t.co/HK7Ch8BMB5;12-Apr-2020 (14:00:29.000000)
I’d like to say thank you to all the brilliant NHS staff taking care of me and others in this difficult time. You are the best of Britain. ////Stay safe everyone, and please remember to stay at home to protect the NHS and save lives.;06-Apr-2020 (12:21:28.000000)
Last night, on the advice of my doctor, I went into hospital for some routine tests as I’m still experiencing coronavirus symptoms. I’m in good spirits and keeping in touch with my team, as we work together to fight this virus and keep everyone safe.;06-Apr-2020 (12:20:58.000000)
Thank you for doing your bit in the fight against #coronavirus. ////Stay home, protect the NHS and save lives. // //#StayHomeSaveLives https://t.co/5p2dsucMbK;05-Apr-2020 (17:30:00.000000)
We can beat this together. ////#StayHomeSaveLives https://t.co/uXZzNUXhJ8;05-Apr-2020 (10:20:00.000000)
Thank you to everyone who is saving lives by staying at home this weekend. ////I know it's tough, but if we all work together and follow the guidance we will beat #coronavirus.////#StayHomeSaveLives;05-Apr-2020 (08:38:52.000000)
"I have just spoken to @Keir_Starmer &amp; congratulated him on becoming Labour leader. We agreed on the importance of all party leaders continuing to work constructively together through this national emergency. I have invited him and other opposition leaders to a briefing next week.";04-Apr-2020 (11:16:34.000000)
I have written to all leaders of opposition parties to invite them to work together at this moment of national emergency. https://t.co/HgEsMo3DO2;04-Apr-2020 (08:48:21.000000)
This country has made a huge effort, a huge sacrifice, and done absolutely brilliantly well in delaying the spread of the virus. ////But in this fine weather, please don't be tempted to break the regulations. I urge everyone to stay at home, protect the NHS and save lives.;04-Apr-2020 (08:09:40.000000)
We must now come together to protect our NHS and to save many, many thousands of lives. ////#StayHomeSaveLives https://t.co/SeVMKTVpJB;03-Apr-2020 (13:52:15.000000)
Another quick update from me on our campaign against #coronavirus.////You are saving lives by staying at home, so I urge you to stick with it this weekend, even if we do have some fine weather.////#StayHomeSaveLives https://t.co/4GHmJhxXQ0;03-Apr-2020 (11:50:35.000000)
Thank you to everyone involved in building the new NHS Nightingale Hospital over the past fortnight.////This immense effort means we will have an extra 4,000 beds to care for #coronavirus patients. https://t.co/wbLOSmtaAP;03-Apr-2020 (10:51:44.000000)
Thank you to the NHS and all of our critical workers for all you are doing to fight #coronavirus. You really are an inspiration. #ClapForOurCarers #ThankYouThursday #ClapForKeyWorkers https://t.co/SRm2cAkAnQ;02-Apr-2020 (19:29:54.000000)
Stay at home, protect the NHS, save lives. ////#StayHomeSaveLives https://t.co/3w3D8UcuUT;02-Apr-2020 (10:08:33.000000)
Yesterday's data showed more people were using transport than in previous days. ////Please do not leave your house unless absolutely necessary. It really will save lives. ////#StayHomeSavesLives;02-Apr-2020 (09:05:20.000000)
Here's an update to bring you up to speed on some of the things that we are doing to protect our NHS.////We will beat coronavirus together by staying at home, protecting our NHS and saving lives. ////#StayHomeSaveLives https://t.co/FOYfvzlQPC;01-Apr-2020 (19:34:43.000000)
I'm staying at home to protect our NHS and save lives.////If we all follow government advice, we can beat #coronavirus together.////#StayHomeSaveLives;01-Apr-2020 (13:02:39.000000)
Thank you Kaydyn for staying at home. Glad the food box arrived. ////We’re doing everything we can to protect people like you.////#StayHomeSaveLives https://t.co/AA74m4StMw;31-Mar-2020 (17:46:13.000000)
This morning I chaired the first ever digital Cabinet. ////Our message to the public is: stay at home, protect the NHS, save lives. #StayHomeSaveLives https://t.co/pgeRc3FHIp;31-Mar-2020 (13:52:35.000000)
Thank you to the 20,000 former staff coming back to the NHS.////And thank you to the 750,000 people who have volunteered to help vulnerable people through this crisis.////We will get through it together.////#Coronavirus #StayHomeSaveLives;30-Mar-2020 (15:03:26.000000)
I’ve been working from home and continuing to lead the government’s response to coronavirus.////Stay at home, protect the NHS, and save lives. #StayHomeSaveLives https://t.co/tYqHYa0Sfy;30-Mar-2020 (11:04:14.000000)
Thanks to everyone who has been staying at home.////By delaying the spread of the disease we can reduce the pressure on our NHS, and that's how we hope to save many thousands of lives.////#StayHomeSaveLives https://t.co/kxdqItMYSE;29-Mar-2020 (19:02:34.000000)
Thank you to everybody who’s doing what I’m doing, working from home and stopping the virus spreading from household to household.////We’re going to beat it, and we’re going to beat it together. Stay at home, protect the NHS and save lives. #StayHomeSaveLives;28-Mar-2020 (12:05:22.000000)
Over the last 24 hours I have developed mild symptoms and tested positive for coronavirus.////I am now self-isolating, but I will continue to lead the government’s response via video-conference as we fight this virus.////Together we will beat this. #StayHomeSaveLives https://t.co/9Te6aFP0Ri;27-Mar-2020 (11:15:28.000000)
"On behalf of the whole country, I want to thank all the incredible nurses, doctors, NHS support staff &amp; carers who are working flat out to fight coronavirus 👏 #ClapForOurCarers #ClapForNHS////To help them, and protect the NHS, we need everyone to stay at home #StayHomeSaveLives https://t.co/kpdQ5KHQiy";26-Mar-2020 (20:19:32.000000)
Governments around the world must step up to help us defeat #coronavirus.////I’ve announced a further £210m of aid funding for vaccine research following today's G20 call, meaning the UK is going above and beyond in the search for a vaccine. ////➡️ https://t.co/lkk9nF2hKP https://t.co/xLahX2PYyB;26-Mar-2020 (16:35:15.000000)
I want to thank all of our brilliant public servants, not only in the NHS, but also in the Police, Armed Forces, local government, social care and elsewhere - you have shown extraordinary courage in facing this national emergency. Our country owes you a huge debt of gratitude. https://t.co/ExjgZ2HhYM;26-Mar-2020 (07:57:01.000000)
