Full Text Tweet;Datum und Uhrzeit
CONGRATULATIONS @AF_Academy! https://t.co/27HxXLNbd8;19-Apr-2020 (03:23:36.000000)
Great new book out by @realKTMcFarland, “Revolution: Trump, Washington, and We the People”. Get your copy today! https://t.co/KBkladnmPQ;19-Apr-2020 (00:34:57.000000)
Will be online tomorrow morning at 10:30am (Eastern) watching @jackngraham from @Prestonwood Baptist in Dallas, Texas. You can join us at https://t.co/Nx4ePPySmn. https://t.co/mheZBjYHrx;18-Apr-2020 (23:41:26.000000)
China wants Sleepy Joe sooo badly. They want all of those billions of dollars that they have been paying to the U.S. back, and much more. Joe is an easy mark, their DREAM CANDIDATE! https://t.co/vmvCr4SkQq;18-Apr-2020 (19:13:28.000000)
I gave up on Drudge (a really nice guy) long ago, as have many others. People are dropping off like flies! https://t.co/L77SXS2mE8;18-Apr-2020 (19:03:09.000000)
The most often used phrase in the Lamestream Media, by far, is “sources say”, or “officials who spoke on the condition of anonymity”, or anything similar which allows Fake News to make up a phony quote from a person who doesn’t even exist. The American people should demand NAMES!;18-Apr-2020 (18:22:18.000000)
....them happy, or even a little bit satisfied. They were RUDE and NASTY. This is their political playbook, and they will use it right up to the election on November 3rd. They will not change because they feel that this is the only way they can win. America will not be fooled!!!;18-Apr-2020 (17:20:49.000000)
....Example! V.P. Mike Pence held a conference call yesterday with all Democrat Senators. He gave them everything that they would have wanted to hear in terms of gaining ground on the CoronaVirus, but nothing that anyone could have said, including “it’s over”, could have made....;18-Apr-2020 (17:20:28.000000)
No matter what you do for the Do Nothing Democrats, no matter how GREAT a job you are doing, they will only respond to their Fake partners in the Lamestream Media in the negative, even in a time of crisis. I thought it would be different, but it’s not. In fact, it’s even worse...;18-Apr-2020 (17:20:23.000000)
Great news, thank you! https://t.co/hp4TCZQW9r;18-Apr-2020 (17:05:13.000000)
Thank you @Honeywell, great job! https://t.co/8MfzxtvDPK;18-Apr-2020 (17:01:32.000000)
I will be having a White House Press Conference today at 5:00 P.M. Thank you!;18-Apr-2020 (16:44:19.000000)
Really nice to see this and, what a great pick! https://t.co/91104h0sd1;18-Apr-2020 (16:37:54.000000)
John James will be a GREAT Senator for Michigan! https://t.co/yGiWzZ9nR0;18-Apr-2020 (16:32:07.000000)
Spending the morning speaking to @fema and Military relative to CoronaVirus. Also, spoke to leaders of various countries including Poland, South Korea and Bahrain. Last night had a very gold conversation with the President of Mexico on numerous topics. Border is very strong!;18-Apr-2020 (15:51:25.000000)
"An incompetent political hack! Come back to Washington &amp; take care of our great American workers. https://t.co/FZ9mH92j0S";18-Apr-2020 (03:50:31.000000)
This is a disgraceful situation! https://t.co/s2qZSrGw6U;18-Apr-2020 (03:47:48.000000)
Lamestream Media is only getting worse! https://t.co/cuTRo87tz3;18-Apr-2020 (03:42:23.000000)
Cut him off now! https://t.co/kdGybEFeOI;18-Apr-2020 (03:40:31.000000)
Great book. Get it and support Charlie! https://t.co/fG7YXOCk9R;18-Apr-2020 (03:38:07.000000)
They are Fake News Losers! https://t.co/3RHcBZogms;18-Apr-2020 (03:35:10.000000)
White House news conference today at 6:00 P.M. Eastern. Thank you!;17-Apr-2020 (19:33:46.000000)
Cuomo ridiculously wanted “40 thousand Ventilators”. We gave him a small fraction of that number, and it was plenty. State should have had them in stockpile!;17-Apr-2020 (17:00:01.000000)
The States have to step up their TESTING!;17-Apr-2020 (16:32:43.000000)
China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S., not even close!;17-Apr-2020 (16:30:05.000000)
Biden/Obama were a disaster in handling the H1N1 Swine Flu. Polling at the time showed disastrous approval numbers. 17,000 people died unnecessarily and through incompetence! Also, don’t forget their 5 Billion Dollar Obamacare website that should have cost close to nothing!;17-Apr-2020 (16:25:30.000000)
"....testing that you should be doing. We have given New York far more money, help and equipment than any other state, by far, &amp; these great men &amp; women who did the job never hear you say thanks. Your numbers are not good. Less talk and more action!";17-Apr-2020 (16:11:45.000000)
Governor Cuomo should spend more time “doing” and less time “complaining”. Get out there and get the job done. Stop talking! We built you thousands of hospital beds that you didn’t need or use, gave large numbers of Ventilators that you should have had, and helped you with....;17-Apr-2020 (16:11:45.000000)
LIBERATE VIRGINIA, and save your great 2nd Amendment. It is under siege!;17-Apr-2020 (15:25:45.000000)
LIBERATE MICHIGAN!;17-Apr-2020 (15:22:41.000000)
LIBERATE MINNESOTA!;17-Apr-2020 (15:21:48.000000)
Today people started losing their jobs because of Crazy Nancy Pelosi, Cryin’ Chuck Schumer, and the Radical Left, Do Nothing Democrats, who should immediately come back to Washington and approve legislation to help families in America. End your ENDLESS VACATION!;17-Apr-2020 (13:50:31.000000)
....in January and February, as the Virus spread globally? Why did the W.H.O. wait as long as it did to take decisive action? Lanhee Chen, Hoover Institution Fellow @FoxNews;17-Apr-2020 (13:20:29.000000)
Why did the W.H.O. Ignore an email from Taiwanese health officials in late December alerting them to the possibility that CoronaVirus could be transmitted between humans? Why did the W.H.O. make several claims about the CoronaVirus that ere either inaccurate or misleading....;17-Apr-2020 (13:20:29.000000)
THANK GOD FOR TRUCKERS! //https://t.co/PNLPAkhNUK;17-Apr-2020 (02:05:53.000000)
https://t.co/lmb1H6I6en;16-Apr-2020 (23:24:57.000000)
Crazy Nancy Pelosi deleted this from her Twitter account. She wanted everyone to pack into Chinatown long after I closed the BORDER TO CHINA. Based on her statement, she is responsible for many deaths. She’s an incompetent, third-rate politician! https://t.co/uWNI7DCG3o;16-Apr-2020 (18:24:30.000000)
Major News Conference tonight, the White House at 6:00 P.M. (Eastern), to explain Guidelines for OPENING UP AMERICA AGAIN!;16-Apr-2020 (18:18:46.000000)
Democrats are blocking additional funding for the popular Paycheck Protection Program. They are killing American small businesses. Stop playing politics Dems! Support Refilling PPP NOW – it is out of funds!;16-Apr-2020 (17:11:42.000000)
"Crazy “Nancy Pelosi, you are a weak person. You are a poor leader. You are the reason America hates career politicians, like yourself.” @seanhannity She is totally incompetent &amp; controlled by the Radical Left, a weak and pathetic puppet. Come back to Washington and do your job!";16-Apr-2020 (13:33:08.000000)
.@OANN Poll “Gives President Trump a 52% Approval Rating in North Carolina, and a seven point lead over (Sleepy) Joe Biden. The President also helps other Republican Candidates, including @SenThomTillis, who has a 4% lead over his Democrat rival.”;16-Apr-2020 (13:12:40.000000)
