Full Text Tweet;Datum und Uhrzeit
Danke auch an alle orthodoxen Christinnen und Christen, dass sie dieses Jahr auf das gemeinsame Fest verzichten. Ich wünsche trotz der derzeitigen Lage frohe und gesegnete Ostern! https://t.co/H3ikIsJLoF;19-Apr-2020 (07:28:56.000000)
Thank you very much! https://t.co/MjRud4rK9X;16-Apr-2020 (17:06:03.000000)
Danke an alle, die zusammenstehen und mithelfen – von der Wirtschaft bis zur Zivilgesellschaft und vor allem den Religionsgemeinschaften. Ein besonderer Dank an die Kirchen, die die einschränkenden Maßnahmen auch an ihrem wichtigsten Fest zu Ostern vorbildlich mitgetragen haben.;14-Apr-2020 (18:01:39.000000)
"Die Krise ist noch lange nicht überstanden. Aber wir sind froh über das, was wir bisher gemeinsam erreichen konnten &amp; heute einen ersten Schritt in Richtung neue Normalität gemeinsam machen können.";14-Apr-2020 (10:02:33.000000)
"Danke für die gute Zusammenarbeit in der Bundesregierung über die Osterfeiertage &amp; ein großes Danke an Sie, liebe Österreicherinnen &amp; Österreicher. Bitte bleiben Sie weiterhin stark &amp; halten Sie weiterhin durch.";14-Apr-2020 (10:02:33.000000)
"Wir bemühen uns auch wirtschaftlich schneller herauszukommen als andere Staaten. Die Kurzarbeit &amp; das 38 Milliarden-Euro-Hilfspaket sind hier Instrumente, um die österreichische Wirtschaft in dieser schwierigen Phase bestmöglich zu unterstützen &amp; Arbeitsplätze zu retten.";14-Apr-2020 (10:02:01.000000)
"Es gibt auch einen Fokus bei den Testungen mit der Schwerpunktsetzung auf Pflege, Spitäler, Menschen mit Behinderungen &amp; den Gesundheitsbereich im Allgemeinen. Dies ist ein weiterer Schritt, um besonders gefährdete Menschen zu schützen.";14-Apr-2020 (10:01:36.000000)
"Im Bereich des Sports, der Sportveranstaltungen, aber auch der Kultur- &amp; Großveranstaltungen, werden Vizekanzler &amp; Innenminister diese Woche einen Überblick geben, damit es in diesen Bereichen auch Gewissheit gibt, wie sich die nächsten Monate entwickeln werden.";14-Apr-2020 (10:00:59.000000)
"Dieser Verzicht, dieses Abstand halten &amp; die Disziplin, die Masken zu tragen – das macht es möglich, dass wir heute den ersten Schritt in Richtung neue Normalität setzen &amp; uns ein Stück weit wieder dem Leben annähern können, das wir in Österreich gewohnt waren.";14-Apr-2020 (10:00:42.000000)
Unser Zugang in den nächsten Monaten wird klar sein: So viel Freiheit wie möglich, so viel Einschränkung wie notwendig. Sollten sich die Zahlen in die falsche Richtung entwickeln, werden wir die Notbremse ziehen, die wir für den Fall vorgesehen haben.;14-Apr-2020 (10:00:27.000000)
