Full Text Tweet;Datum und Uhrzeit
Wir machen keine Versprechungen ins Blaue hinaus, sondern planen einen Schritt nach dem anderen.////https://t.co/ACyQK2kUSV;18-Apr-2020 (10:23:56.000000)
Le Conseil fédéral a choisi une voie médiane et un processus par étapes. Son but: protéger tout d’abord la santé, mais aussi limiter les dégâts économiques.////https://t.co/Rxow5ZBEpN;17-Apr-2020 (19:53:57.000000)
Die Bevölkerung trägt unsere Massnahmen mit und sie wirken. Nun können wir die Einschränkungen lockern, das gibt uns eine Perspektive. #CoronaInfoCH https://t.co/euDkM21qx0;16-Apr-2020 (15:18:41.000000)
In der Krise kommen viele unserer Stärken besonders zur Geltung: Dazu gehört die gegenseitige Unterstützung, wir schenken Zeit und spenden Hilfe. #CoronaInfoCH #SwissSolidarity https://t.co/cVuP1KyR6j;16-Apr-2020 (08:26:53.000000)
Markus Raetz hat uns die Welt auf eine andere Weise sehen lassen, dafür sind wir ihm dankbar. Die Erinnerung gilt einem grossen Schweizer Künstler mit einem reichen Werk und meine Gedanken sind bei seinen Nächsten. https://t.co/C5EyhkYTIw;15-Apr-2020 (18:29:38.000000)
4 Wochen ausserordentliche Lage – Ich danke allen für die #Solidarität, etwa mit den Märitleuten. Einige erhalten meinen Dank als Karte im Gemüsekorb, dem Blumenstrauss oder dem bestellten Fleisch, z.B. die Kunden von Familie Wüstefeld, deren Hof ich besuchte. Schöne #Ostern! https://t.co/Q0RHWJsUrW;11-Apr-2020 (08:00:45.000000)
Der Austausch zwischen Regierung und Parlament – ein Grundelement unserer Demokratie. https://t.co/MIsb1HRB6C;09-Apr-2020 (13:51:11.000000)
Es ist ein Ruck durch die Schweiz gegangen – die Massnahmen zeigen Wirkung. Schrittweise Lockerungen sind noch vor Ende April möglich – unter Einhaltung der Distanz- und Hygieneregeln. #CoronaInfoCH https://t.co/Ghau52kZYv;08-Apr-2020 (14:51:38.000000)
La lutte contre le Covid-19, au @CHUVLausanne, et la situation dans les transports publics étaient au centre de ma visite à Lausanne. Je salue l’engagement sans faille que je découvre lors de ces rencontres : merci à toutes et à tous!  #CoronaInfoCh https://t.co/1Nyvoy88eD https://t.co/GyNSaiJ65L;07-Apr-2020 (14:29:08.000000)
Visite dans des #PME du Jura bernois. L’occasion d’échanger avec des entrepreneurs qui font front. Le but est de protéger les travailleurs, les emplois et le savoir-faire. @CEP_Jurabernois  @cantondeberne https://t.co/9wcx7qJCxJ https://t.co/gZvHihKol7;06-Apr-2020 (15:44:58.000000)
Habe mich heute in Basel ausgetauscht mit Vertreterinnen und Vertretern des Universitätsspitals, der Regierung und der Pharma-Industrie. Bin beeindruckt vom vielfältigen Engagement gegen die Corona-Pandemie. #CoronaInfoCH #Covid_19 https://t.co/4QFke0ELdX https://t.co/4cHIpYJDAY;06-Apr-2020 (11:06:02.000000)
Versorgungssicherheit stärken dank mehr sauberem Strom aus der Schweiz. #EneuerbareEnergien//https://t.co/6eNnHRnPwV;03-Apr-2020 (14:04:32.000000)
In countries already affected by war, the pandemic is further exacerbating the situation. I therefore support the UN Secretary General in his call for a global unconditional ceasefire in all armed conflicts.//#G20VirtualSummit #covid19 https://t.co/M7XAnQ4fEG https://t.co/eC9lyFNVba;26-Mar-2020 (14:27:47.000000)
Ussa dependi da nus tuts! Mia brev a la Svizra: https://t.co/XtYikkIkFB https://t.co/1DiqUjK3RJ;21-Mar-2020 (07:37:47.000000)
Jetzt kommt es auf uns alle an! Mein Brief an die Schweiz: https://t.co/Co2qI6BDbr https://t.co/Rq53qYUToV;21-Mar-2020 (07:27:38.000000)
Désormais, nous sommes toutes et tous concernés ! Ma lettre à la Suisse: https://t.co/i0OXW21YMz https://t.co/EJgm5ouJLY;21-Mar-2020 (07:26:27.000000)
Ora siamo chiamati tutti a dare il nostro contributo! Il mio messaggio alla Svizzera! Tutta la lettera: https://t.co/FG6J5eF6sV https://t.co/ps7UAgBdSO;21-Mar-2020 (07:25:22.000000)
Eine positive Nachricht in diesen Tagen: Brüssel gibt unser Schutzmaterial frei. Somit können Atemschutzmasken, Untersuchungshandschuhe und Schutzbrillen in die Schweiz geliefert werden. Danke für die Kooperation @vonderleyen @PhilHoganEU #CoronaInfoCH//https://t.co/PzVGBR0cnb;20-Mar-2020 (08:12:41.000000)
Ora abbiamo bisogno del sostegno di tutti, giovani e anziani. Dobbiamo fare in modo che gli ospedali possano continuare a curare i malati gravi e i feriti. Rispettate rigorosamente le misure e le raccomandazioni del Consiglio federale. Grazie di cuore. https://t.co/QLFtiOS0PC https://t.co/pwfnnQOFx4;16-Mar-2020 (19:11:26.000000)
Nous comptons maintenant sur le soutien de toute la population. Pour que les hôpitaux puissent soigner les personnes gravement malades et blessées. De tout cœur, je tiens à remercier celles et ceux qui appliquent les mesures et les recommandations du Conseil fédéral.#CoronaInfoCH https://t.co/Pt6RoMzUKM;16-Mar-2020 (19:11:14.000000)
Wir brauchen jetzt die ganze Bevölkerung, Jung und Alt. Damit es in den Spitälern weiterhin genug Platz hat um Schwerkranke und Verletzte zu pflegen. Ich danke allen von ganzem Herzen, die die Massnahmen und Empfehlungen des Bundesrates strikt umsetzen. https://t.co/pVHShgUgj4 https://t.co/0JLb2ezA58;16-Mar-2020 (19:10:56.000000)
Der Bundesrat will die Menschen schützen und die Unternehmen unterstützen: Wir haben die Möglichkeiten und die Mittel, gemeinsam die Corona-Krise zu bewältigen. #CoronaInfoCH https://t.co/IENCl0cKML https://t.co/pThem1pwru;13-Mar-2020 (17:20:11.000000)
84% unsere Städte und Gemeinden werden heute von Männern geführt. Wie sähe es aus, wenn es andersherum wäre? Das wollte ich von vier Gemeindepräsidentinnen wissen. Ihre Antworten sind so unterschiedlich wie es unser Land ist. #Weltfrauentag #internationalwomensday https://t.co/DootsTNZ7L;08-Mar-2020 (08:58:11.000000)
Ein grosses Merci dem Gesundheitspersonal, welches sich Tag für Tag um uns kümmert. 🧡 Un sentito ringraziamento a tutto il personale medico che si occupa della nostra salute giorno dopo giorno. 💛 Un grand merci au personnel de santé, qui prend soin de nous au quotidien. 💗;02-Mar-2020 (18:05:04.000000)
Die #Menschenrechte respektieren, schützen und umsetzen: Das ist Aufgabe jedes Staates. Daran werden wir unermüdlich erinnern. @mbachelet @UNHumanRights https://t.co/UypQWFihQi https://t.co/9ysN2c095m;02-Mar-2020 (16:32:40.000000)
#TagderKranken: Ich möchte an alle denken, die schon lang krank sind. Das sind fast zwei Millionen Menschen in unserem Land. https://t.co/MmRhokAWPG https://t.co/5gRkQfWSUX;01-Mar-2020 (09:45:39.000000)
https://t.co/anTRqMskIL////Die Kunst verbindet Menschen, Länder und Kontinente.;29-Feb-2020 (08:54:45.000000)
#Goldvreneli und #Schoggitaler: Beides gäbe es kaum ohne Rohstoffe, wie wir sie aus Ghana importieren. Der rege Austausch soll darum in beiden Ländern der gesamten Bevölkerung dienen.//https://t.co/haRyPms9rz;28-Feb-2020 (17:25:45.000000)
Herzlich willkommen @NAkufoAddo! Ich freue mich auf den Präsidenten von #Ghana. Es ist der erste Staatsbesuch bei uns, seit #Ghana 1957 die Unabhängigkeit erlangt hat.//https://t.co/UmLS8EaD9G;28-Feb-2020 (12:04:40.000000)
Wir verfolgen die Entwicklung sehr genau. Der Schutz der Bevölkerung hat für den Bundesrat erste Priorität. #coronavirus #COVID19 https://t.co/gXhJrZxLuu;27-Feb-2020 (15:03:58.000000)
Hier schmelzen die Gletscher, im pazifischen Ozean steigt der Meeresspiegel und bedroht die Insel Nauru. Für Präsident Aingimea hat der Klimaschutz daher Priorität. Über den #GreenClimateFund und die Asian Development Bank unterstützt die Schweiz Nauru: https://t.co/xPw605hhzG https://t.co/gnpItHFieR;26-Feb-2020 (15:55:12.000000)
Ich bin bestürzt über den Anschlag im deutschen #Hanau. Rassismus ist in jeder Form zu verurteilen. Wir dürfen nicht wegschauen.;21-Feb-2020 (10:31:57.000000)
Ich freue mich auf Ihre Anmeldung für meine Geburtstagsfeier: https://t.co/osDtWgsAcd////Sarò lieta di ricevere la Sua iscrizione per la mia festa di compleanno: https://t.co/Lx6nq4X6LD////Je me réjouis de votre inscription à ma fête d'anniversaire:   https://t.co/JCDPeHk6A2 https://t.co/jzs2oOiBu3;20-Feb-2020 (09:36:10.000000)
Merci pour cet échange ! Vos expériences avec le changement climatique sont impressionnantes. Vous voulez contribuer à trouver des solutions. Cela m’encourage et me donne confiance !//https://t.co/VSe0UQNl48;17-Feb-2020 (16:05:27.000000)
La Suisse est novatrice depuis des générations. Notre esprit d'innovation transforme la lutte contre le #ChangementClimatique en une aubaine pour notre économie et la recherche.//#cleantech #technologiespropres////https://t.co/Xni8YDp49P;14-Feb-2020 (08:54:37.000000)
Soirée genevoise, invitée de @RTSinfrarouge.  L’occasion de faire le point sur l’importance de la voie bilatérale avec l’UE et la nécessité de prendre des mesures pour le climat. https://t.co/ke6KdHOhV4;12-Feb-2020 (21:07:24.000000)
The 🇺🇸 decision to re-authorise the use of anti-personnel mines is a source of concern. It weakens the regulatory framework banning such weapons and runs counter to international efforts to achieve a #MineFreeWorld. We call upon all States to join the #MineBanTreaty. https://t.co/Dp3BJhq0R1;07-Feb-2020 (16:24:53.000000)
Tate Modern, @britishlibrary, @RoyalAlbertHall: Mein Mann, Lukas Hartmann, kann im nächsten halben Jahr dank einem Atelier-Aufenthalt  Londons kulturelle Highlights kennenlernen.//Hauptsächlich recherchiert er für einen neuen Roman. https://t.co/Oe3tbjSQk9;07-Feb-2020 (15:28:18.000000)
Eine Frauenmehrheit in der neuen österreichischen Regierung: dazu kann ich Bundeskanzler @sebastiankurz nur gratulieren! https://t.co/LdKtknNdPb;30-Jan-2020 (16:14:22.000000)
Bundespräsident @vanderbellen und ich sind uns einig: Bündeln wir die Kräfte - beim #Klimaschutz, bei der #Artenvielfalt und beim #Schienenverkehr! https://t.co/OQi0CIktfv;30-Jan-2020 (12:34:24.000000)
Spannender Einblick in die anspruchsvolle Arbeit von @OSCE Generalsekretär @gremingerosce heute in Wien. Schweiz kann eine wichtige Rolle spielen bei der Friedensförderung. @EDA_DFAE @SwitzerlandOSCE  //https://t.co/JcfIcT783j https://t.co/zxdk9yRfFk;30-Jan-2020 (09:23:58.000000)
Guten Morgen, Wien! Gut gestärkt freue ich mich auf die heutigen Gespräche mit Bundespräsident @vanderbellen und Bundeskanzler @sebastiankurz. #Nightjet https://t.co/qU6NcIgrBT https://t.co/ZriDdyq4UJ;30-Jan-2020 (07:18:01.000000)
Auschwitz ist zum Symbol geworden für die Vernichtungspolitik der Nazis. Wir gedenken heute der Befreiung des KZ vor 75 Jahren. Die Erinnerung an diese unermesslich schreckliche Zeit zu bewahren, ist wichtig. #HolocaustMemorialDay #Auschwitz75 #niewieder https://t.co/t9eSaokYCA https://t.co/IlsBjrS5U9;27-Jan-2020 (12:57:59.000000)
Félicitations ! J’ai énormément de respect pour la passion, la persévérance et l’implication des jeunes lors de ces Jeux olympiques d’hiver. #Lausanne2020 #YouthOlympics//https://t.co/gAc36jsFOd https://t.co/xKtstHh76I https://t.co/uL1jycWGvy;23-Jan-2020 (14:43:32.000000)
Ursula von der Leyen, Donald Trump, Pedro Sánchez und Volodymyr Zelensky. Die Treffen in Davos ermöglichten es, wichtige Themen zu besprechen: die Beziehungen zur EU und der European Green Deal, die Guten Dienste der Schweiz sowie Handel und Klimapolitik. #Davos2020 https://t.co/0uzrsWs7PI;23-Jan-2020 (10:13:59.000000)
Ein erster anregender Austausch mit dem ukrainischen Präsidenten Volodymyr Zelensky vor meinem Besuch in diesem Jahr. #Davos2020 #wef20 https://t.co/jnXuUDNi6j;22-Jan-2020 (17:05:55.000000)
His Royal Highness Prince Charles is extremely committed to species protection and climate protection, as is Switzerland. #Davos2020 @ClarenceHouse https://t.co/5S95q2Nz0Z;22-Jan-2020 (16:37:17.000000)
Der US-Präsident @realdonaldtrump lobte das Engagement der Schweiz: «We trust you a 100 %» https://t.co/SmLXMU8rIy;21-Jan-2020 (18:05:10.000000)
When the world is on fire, we cannot leave the work to firemen alone. Politicians and society have to take action. So, let’s make use of our time here together to engage in dialogue and to seek a balance that benefits all of us. https://t.co/8zeGtXVE7d #Davos2020 #WEF20 https://t.co/ShbnQkJ4NE;21-Jan-2020 (13:53:27.000000)
To bee or not to be 🐝 Die Botschaft der Bienen ist klar: Wenn wirtschaftliche Interessen über die Bedürfnisse der Natur gestellt werden, sind die Folgen für uns Menschen, aber auch für die Wirtschaft, dramatisch. https://t.co/4GZ1pP75jr #WEF20 #WEF2020 https://t.co/GTFuCMoFLr;21-Jan-2020 (10:59:02.000000)
Ein gutes Klima beim ersten Treffen mit @vonderleyen zu gemeinsamen Themen  - und ein Austausch über die beiderseitige Sorge über den #Klimawandel.//https://t.co/DygDnVDuky;20-Jan-2020 (19:04:53.000000)
Arbeiten auf dem Weg nach #Davos. //#WEF20 https://t.co/FDuuQeUnme;20-Jan-2020 (11:03:32.000000)
In einer Woche sind es 75 Jahre, seit das KZ Auschwitz befreit wurde. Es war mir darum ein Anliegen, Überlebende des Holocaust persönlich zu treffen. Ich bin tief berührt von dieser Begegnung. #Holocaust #Auschwitz https://t.co/s0orlVCizf https://t.co/jsEKPYuhom;19-Jan-2020 (15:05:41.000000)
Heute diskutiere ich mit Jugendlichen in der Arena über Klima, Altersvorsorge und Gleichstellung. Ich freue mich auf eine erfrischende Sendung – und ihre Fragen!//#srfarena #younews2020//https://t.co/kmMqHnakW6;17-Jan-2020 (08:39:37.000000)
Mit dem Ausbau der Wasserkraft haben wir etwas gewagt und viel gewonnen. Nun tun sich mit der Erneuerung der Energiewelt neue Chancen auf. Packen wir sie! Meine Rede vom #Stromkongress: //https://t.co/kad48xxz83 #stk2020 #Energiewende https://t.co/ghHmBcge4P;16-Jan-2020 (16:06:52.000000)
